X,Y,CountryCode,LowerLeft,UpperRight,IncludeInSquares
152,87,792,1,1,1
152,86,792,1,1,1
153,88,792,1,1,1
153,87,792,1,1,1
153,86,792,1,1,1
153,85,792,1,1,1
154,90,792,1,1,1
154,89,792,1,1,1
154,88,792,1,1,1
154,87,792,1,1,1
154,86,792,1,1,1
154,85,792,1,1,1
155,91,792,1,1,1
155,90,792,1,1,1
155,89,792,1,1,1
155,88,792,1,1,1
155,87,792,1,1,1
156,92,792,1,1,1
156,91,792,1,1,1
156,90,792,1,1,1
156,89,792,1,1,1
156,88,792,1,1,1
156,87,792,1,1,1
156,86,792,1,1,1
156,85,792,1,1,1
157,93,792,1,1,1
157,92,792,1,1,1
157,91,792,1,1,1
157,90,792,1,1,1
157,89,792,1,1,1
157,88,792,1,1,1
157,87,792,1,1,1
157,86,792,1,1,1
157,85,792,1,1,1
158,93,792,1,1,1
158,92,792,1,1,1
158,91,792,1,1,1
158,90,792,1,1,1
158,89,792,1,1,1
158,88,792,1,1,1
158,87,792,1,1,1
158,86,792,1,1,1
158,85,792,1,1,1
159,93,792,1,1,1
159,92,792,1,1,1
159,91,792,1,1,1
159,90,792,1,1,1
159,89,792,1,1,1
159,88,792,1,1,1
159,87,792,1,1,1
159,86,792,1,1,1
159,85,792,1,1,1
159,84,792,1,1,1
160,92,792,1,1,1
160,91,792,1,1,1
160,90,792,1,1,1
160,89,792,1,1,1
160,88,792,1,1,1
160,87,792,1,1,1
160,86,792,1,1,1
160,85,792,1,1,1
160,84,792,1,1,1
161,92,792,1,1,1
161,91,792,1,1,1
161,90,792,1,1,1
161,89,792,1,1,1
161,88,792,1,1,1
161,87,792,1,1,1
161,86,792,1,1,1
161,85,792,1,1,1
161,84,792,1,1,1
162,92,792,1,1,1
162,91,792,1,1,1
162,90,792,1,1,1
162,89,792,1,1,1
162,88,792,1,1,1
162,87,792,1,1,1
162,86,792,1,1,1
162,85,792,1,1,1
163,92,792,1,1,1
163,91,792,1,1,1
163,90,792,1,1,1
163,89,792,1,1,1
163,88,792,1,1,1
163,87,792,1,1,1
163,86,792,1,1,1
163,85,792,1,1,1
163,84,792,1,1,1
164,92,792,1,1,1
164,91,792,1,1,1
